_date,total_views,unique_views
2024-12-04,25,8
2024-12-05,10,3
2024-12-06,2,1
2024-12-07,26,4
2024-12-08,8,2
2024-12-09,68,7
2024-12-10,28,4
2024-12-11,43,5
2024-12-12,14,6
2024-12-13,43,6
2024-12-14,3,1
2024-12-15,5,1
2024-12-16,47,5
2024-12-17,59,6
2024-12-18,8,1
2024-12-19,9,3
2024-12-20,49,5
2024-12-22,21,2
2024-12-23,5,2
2024-12-25,1,1
2024-12-26,10,3
2024-12-27,1,1
2024-12-28,12,1
2025-01-01,1,1
2025-01-02,48,4
2025-01-03,5,3
2025-01-04,1,1
2025-01-06,8,5
2025-01-07,15,3
2025-01-08,1,1
2025-01-10,31,3
2025-01-11,29,3
2025-01-12,40,4
2025-01-13,2,1
2025-01-14,3,2
2025-01-15,1,1
2025-01-16,31,4
2025-01-17,44,3
2025-01-18,15,2
2025-01-20,2,2
2025-01-21,47,4
2025-01-22,63,1
2025-01-23,15,3
2025-01-24,18,5
2025-01-25,59,2
2025-01-26,8,3
2025-01-27,16,5
2025-01-28,2,2
2025-01-29,1,1
2025-01-30,12,2
2025-01-31,23,6
2025-02-02,2,1
2025-02-03,28,4
2025-02-04,17,6
2025-02-05,32,4
2025-02-06,71,9
2025-02-07,65,7
2025-02-08,7,3
2025-02-09,6,3
2025-02-10,20,2
2025-02-11,68,5
2025-02-13,31,2
2025-02-12,60,5
2025-02-14,38,3
2025-02-15,13,1
2025-02-16,110,3
2025-02-17,71,5
2025-02-18,47,7
2025-02-19,31,6
2025-02-20,8,2
2025-02-21,23,2
2025-02-22,10,2
2025-02-23,40,6
2025-02-24,14,2
2025-02-25,7,3
2025-02-26,8,4
2025-02-27,8,3
2025-02-28,6,2
2025-03-02,6,1
2025-03-03,3,2
2025-03-04,17,6
2025-03-05,24,5
2025-03-06,7,4
2025-03-07,6,2
2025-03-08,3,2
2025-03-09,3,1
2025-03-10,10,5
2025-03-11,40,9
2025-03-12,8,3
2025-03-13,8,2
2025-03-15,14,1
2025-03-17,35,8
2025-03-18,32,4
2025-03-19,18,4
2025-03-21,11,5
2025-03-22,24,3
2025-03-23,15,3
2025-03-24,49,5
2025-03-25,6,4
2025-03-26,2,2
2025-03-27,26,6
2025-03-28,4,2
2025-03-31,30,5
2025-04-01,40,5
2025-04-02,22,3
2025-04-04,6,2
2025-04-06,7,2
2025-04-07,5,2
2025-04-08,66,8
2025-04-09,99,9
2025-04-10,115,9
2025-04-11,53,4
2025-04-13,42,3
2025-04-14,55,8
2025-04-15,16,3
2025-04-16,11,2
2025-04-18,6,1
2025-04-19,7,1
2025-04-21,4,1
2025-04-22,53,5
2025-04-23,43,7
2025-04-24,11,5
2025-04-25,143,5
2025-04-26,2,2
2025-04-27,29,2
2025-04-28,187,6
2025-04-29,35,7
2025-04-30,15,3
2025-05-01,24,5
2025-05-02,2,1
2025-05-03,24,3
2025-05-04,9,3
2025-05-05,73,8
2025-05-06,2,2
2025-05-07,1,1
2025-05-08,3,3
2025-05-10,19,5
2025-05-11,14,1
2025-05-12,101,6
2025-05-13,20,3
2025-05-14,117,7
2025-05-15,66,3
2025-05-16,41,8
2025-05-17,47,5
2025-05-18,10,2
2025-05-19,90,4
2025-05-20,140,10
2025-05-21,199,5
2025-05-22,73,8
2025-05-23,75,4
2025-05-24,8,1
2025-05-25,13,2
2025-05-26,68,4
2025-05-27,33,7
2025-05-28,26,5
2025-05-29,165,14
2025-05-30,115,6
2025-05-31,69,4
2025-06-01,91,7
2025-06-02,66,3
2025-06-03,19,8
2025-06-04,163,6
2025-06-05,76,5
2025-06-06,80,7
2025-06-07,3,2
2025-06-08,5,2
2025-06-09,56,4
2025-06-10,119,8
2025-06-11,36,7
2025-06-12,7,4
2025-06-13,25,3
2025-06-14,8,3
2025-06-15,18,2
2025-06-16,109,13
2025-06-17,155,10
2025-06-18,352,9
2025-06-19,150,12
2025-06-20,154,8
2025-06-21,21,4
2025-06-22,22,3
2025-06-23,66,9
2025-06-24,97,6
2025-06-25,324,5
2025-06-26,146,9
2025-06-27,37,4
2025-06-28,41,3
2025-06-29,26,3
2025-06-30,40,7
2025-07-01,26,7
2025-07-02,5,5
2025-07-03,46,7
2025-07-04,8,4
2025-07-05,12,3
2025-07-06,2,2
2025-07-07,13,6
2025-07-08,19,4
2025-07-09,69,5
2025-07-10,59,6
2025-07-11,51,6
2025-07-12,27,2
2025-07-13,44,3
2025-07-14,57,5
2025-07-15,97,5
2025-07-16,65,6
2025-07-17,142,6
2025-07-18,90,5
2025-07-19,136,2
2025-07-20,212,4
2025-07-21,91,5
2025-07-22,141,5
2025-07-23,114,7
2025-07-24,22,3
2025-07-25,53,7
2025-07-27,19,2
2025-07-28,31,4
2025-07-29,6,2
2025-07-30,7,3
2025-07-31,14,7
2025-08-01,1,1
2025-08-02,3,3
2025-08-03,26,3
2025-08-04,48,7
2025-08-05,27,3
2025-08-06,25,3
2025-08-07,23,5
2025-08-08,23,6
2025-08-09,2,1
2025-08-10,1,1
2025-08-11,5,2
2025-08-12,29,3
2025-08-13,89,7
2025-08-14,88,3
2025-08-15,69,12
2025-08-16,60,3
2025-08-17,25,4
2025-08-18,298,12
2025-08-19,158,6
2025-08-20,16,7
2025-08-21,48,6
2025-08-22,72,7
2025-08-23,74,6
2025-08-24,29,5
2025-08-25,49,6
2025-08-26,70,11
2025-08-27,97,11
2025-08-28,67,9
